2009-2010 Award Year FFEL Volume by School,,,,,,,,,,,,,,,,,,,,,,,,
Award Year Quarterly Activity  (04/01/2010-06/30/2010),,,,,,,,,,,,,,,,,,,,,,,,
Data Run: 4/5/2012,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, FFEL SUBSIDIZED ,,,,, FFEL UNSUBSIDIZED ,,,,, FFEL PARENT PLUS ,,,,,FFEL GRAD PLUS,,,,
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,PUBLIC, 14 , 14 ," $30,734.00 ",19," $33,919.00 ", 8 , 9 ," $31,964.00 ",13," $35,464.00 ", 1 , 1 ," $2,400.00 ",1," $2,400.00 ", -   , -   , $-   ,0, $-   
00101900,HUNTINGDON COLLEGE,AL,361062148,PRIVATE, 35 , 37 ," $95,759.00 ",164," $227,962.00 ", 44 , 44 ," $151,869.00 ",178," $334,578.00 ", 3 , 3 ," $6,220.00 ",7," $9,926.00 ", -   , -   , $-   ,0, $-   
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,PUBLIC, 2 , 2 ," $6,250.00 ",3," $6,250.00 ", 7 , 7 ," $15,906.00 ",4," $5,508.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00102300,JUDSON COLLEGE,AL,367562504,PRIVATE, 14 , 14 ," $24,622.00 ",14," $24,622.00 ", 18 , 20 ," $29,929.00 ",20," $29,929.00 ", 5 , 5 ," $14,200.00 ",5," $14,200.00 ", -   , -   , $-   ,0, $-   
00102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,PUBLIC, 780 , 793 ," $2,051,793.00 ","1,286"," $3,089,788.00 "," 1,743 "," 1,773 "," $6,105,699.00 ","2,328"," $7,302,697.00 ", 8 , 9 ," $23,822.00 ",10," $25,072.00 ", -   , -   , $-   ,0, $-   
00102600,MARION MILITARY INSTITUTE,AL,367563214,PUBLIC, 2 , 2 ," $3,500.00 ",2," $3,500.00 ", 2 , 2 ," $2,600.00 ",5," $6,680.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00102900,UNIVERSITY OF MOBILE,AL,366630220,PRIVATE, 157 , 157 ," $399,107.00 ",306," $398,062.00 ", 195 , 195 ," $672,457.00 ",377," $670,957.00 ", 10 , 10 ," $62,433.00 ",18," $62,433.00 ", 2 , 2 ," $11,600.00 ",4," $11,600.00 "
00103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,PUBLIC, 84 , 84 ," $115,341.00 ",260," $211,233.00 ", 26 , 26 ," $31,874.00 ",81," $55,412.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00103300,OAKWOOD UNIVERSITY,AL,358960001,PRIVATE, 59 , 60 ," $193,000.00 ",132," $332,606.00 ", 73 , 77 ," $328,514.00 ",155," $508,060.00 ", 6 , 7 ," $53,911.00 ",27," $177,467.00 ", -   , -   , $-   ,0, $-   
00103600,SAMFORD UNIVERSITY,AL,352297000,PRIVATE, 113 , 115 ," $497,760.00 ",115," $494,180.00 ", 128 , 131 ," $548,474.00 ",131," $545,907.00 ", 21 , 21 ," $164,174.00 ",21," $164,174.00 ", 143 , 149 ," $1,270,149.00 ",149," $1,269,609.00 "
00104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,PUBLIC, 192 , 195 ," $309,321.00 ",451," $421,605.00 ", 155 , 157 ," $241,333.00 ",347," $304,787.00 ", 1 , 1 ," $2,000.00 ",3," $4,750.00 ", -   , -   , $-   ,0, $-   
00104100,SPRING HILL COLLEGE,AL,366081791,PRIVATE, 5 , 5 ," $20,301.00 ",75," $158,473.00 ", 10 , 10 ," $25,992.00 ",82," $232,186.00 ", 8 , 8 ," $66,760.00 ",9," $66,760.00 ", -   , -   , $-   ,0, $-   
00104400,STILLMAN COLLEGE,AL,354031430,PRIVATE, 86 , 90 ," $151,418.00 ",92," $155,918.00 ", 66 , 68 ," $131,340.00 ",69," $134,225.00 ", 6 , 6 ," $21,800.00 ",6," $21,800.00 ", -   , -   , $-   ,0, $-   
00104700,TROY UNIVERSITY,AL,360820001,PUBLIC," 2,227 "," 2,254 "," $7,256,560.00 ","5,087"," $11,511,871.00 "," 2,044 "," 2,080 "," $7,664,324.00 ","4,802"," $13,619,885.00 ", 25 , 26 ," $117,032.00 ",38," $151,913.00 ", 22 , 24 ," $115,848.00 ",26," $122,656.00 "
00105000,TUSKEGEE UNIVERSITY,AL,360881645,PRIVATE, 106 , 108 ," $239,772.00 ",205," $242,897.00 ", 191 , 204 ," $755,900.00 ",384," $752,684.00 ", 56 , 58 ," $277,697.00 ",110," $277,697.00 ", 40 , 44 ," $237,820.00 ",73," $237,820.00 "
00105700,UNIVERSITY OF SOUTH ALABAMA,AL,366880002,PUBLIC, 827 , 838 ," $2,221,137.00 ","1,314"," $3,302,728.00 "," 1,001 "," 1,018 "," $3,140,212.00 ","1,549"," $5,018,729.00 ", 37 , 38 ," $268,014.00 ",54," $324,607.00 ", 43 , 43 ," $284,297.00 ",76," $411,530.00 "
00106000,JAMES H. FAULKNER STATE COMMUNITY COLLEGE,AL,365072698,PUBLIC, 258 , 263 ," $396,887.00 ",589," $504,355.00 ", 251 , 255 ," $446,316.00 ",551," $544,985.00 ", 3 , 3 ," $8,200.00 ",8," $14,395.00 ", -   , -   , $-   ,0, $-   
00569700,NORTHWEST - SHOALS COMMUNITY COLLEGE,AL,356623206,PUBLIC, 198 , 200 ," $383,673.00 ",401," $586,455.00 ", 170 , 173 ," $287,711.00 ",343," $444,189.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00787100,GEORGE C. WALLACE STATE COMMUNITY COLLEGE,AL,350772000,PUBLIC, 375 , 375 ," $559,768.00 ",953," $1,236,982.00 ", 358 , 359 ," $580,940.00 ",783," $1,140,385.00 ", 3 , 3 ," $12,016.00 ",3," $12,016.00 ", -   , -   , $-   ,0, $-   
00831000,AUBURN UNIVERSITY MONTGOMERY,AL,361173596,PUBLIC, 26 , 27 ," $54,718.00 ",28," $55,593.00 ", 26 , 26 ," $63,377.00 ",27," $61,986.00 ", 1 , 1 ," $5,985.00 ",1," $5,985.00 ", -   , -   , $-   ,0, $-   
01019300,HERZING UNIVERSITY,AL,352094816,PROPRIETARY, -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , 4 , 4 ," $10,301.00 ",10," $13,094.00 ", -   , -   , $-   ,0, $-   
01055400,CONCORDIA COLLEGE,AL,367013323,PRIVATE, 1 , 1 ," $5,500.00 ",3," $6,250.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02170600,UNITED STATES SPORTS ACADEMY,AL,365267055,PRIVATE, 14 , 14 ," $51,332.00 ",110," $376,639.00 ", 21 , 24 ," $70,297.00 ",92," $362,165.00 ", -   , -   , $-   ,1," $9,320.00 ", -   , -   , $-   ,0, $-   
02199700,HERITAGE CHRISTIAN UNIVERSITY,AL,356306245,PRIVATE, 3 , 3 ," $7,250.00 ",6," $8,625.00 ", 4 , 4 ," $12,800.00 ",8," $14,550.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02270400,SOUTHEASTERN BIBLE COLLEGE,AL,352442083,PRIVATE, 2 , 2 ," $7,000.00 ",3," $9,250.00 ", 2 , 2 ," $3,300.00 ",3," $4,050.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02296000,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,361174231,PROPRIETARY, 35 , 35 ," $123,612.00 ",134," $172,102.00 ", 31 , 32 ," $132,966.00 ",122," $167,528.00 ", 1 , 1 ," $2,000.00 ",5," $10,666.00 ", -   , -   , $-   ,0, $-   
02503400,AMRIDGE UNIVERSITY,AL,361173553,PRIVATE, 81 , 82 ," $386,630.00 ",397," $1,153,934.00 ", 78 , 79 ," $346,330.00 ",382," $1,331,235.00 ", -   , -   , $-   ,0, $-   , 4 , 4 ," $20,540.00 ",22," $130,970.00 "
02605500,REMINGTON COLLEGE - MOBILE CAMPUS,AL,366095593,PRIVATE, 846 , 858 ," $2,379,367.00 ","2,490"," $3,893,798.00 ", 893 ," 1,543 "," $3,537,530.00 ","4,542"," $5,855,487.00 ", 14 , 14 ," $73,678.00 ",48," $141,467.00 ", -   , -   , $-   ,0, $-   
03010600,VIRGINIA COLLEGE,AL,352095154,PROPRIETARY, 11 , 11 ," $29,065.00 ",65," $105,653.00 ", 12 , 13 ," $34,302.00 ",69," $116,682.00 ", -   , -   , $-   ,4," $6,641.00 ", -   , -   , $-   ,0, $-   
03783300,BLUE CLIFF CAREER COLLEGE,AL,366064749,PROPRIETARY, 7 , 7 ," $18,736.00 ",46," $79,636.00 ", 9 , 9 ," $33,166.00 ",35," $90,622.00 ", -   , -   , $-   ,1," $2,250.00 ", -   , -   , $-   ,0, $-   
04067300,SELMA UNIVERSITY,AL,367015232,PRIVATE, 3 , 3 ," $12,750.00 ",6," $12,250.00 ", 1 , 1 ," $2,000.00 ",2," $2,000.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
04121500,COLUMBIA SOUTHERN UNIVERSITY,AL,365613815,PROPRIETARY, 462 , 469 ," $1,656,389.00 ","4,468"," $5,236,525.00 ", 602 , 624 ," $2,464,969.00 ","5,457"," $7,476,009.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00108500,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,716560000,PUBLIC, 17 , 17 ," $30,240.00 ",20," $33,205.00 ", 15 , 16 ," $22,667.00 ",20," $24,671.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00108600,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,716012790,PUBLIC, 61 , 62 ," $169,809.00 ",78," $169,177.00 ", 75 , 84 ," $182,129.00 ",130," $185,795.00 ", 4 , 4 ," $22,445.00 ",7," $23,200.00 ", -   , -   , $-   ,0, $-   
00108800,LYON COLLEGE,AR,725013699,PRIVATE, 2 , 2 ," $4,816.00 ",2," $4,816.00 ", 4 , 6 ," $7,796.00 ",6," $7,796.00 ", 2 , 2 ," $6,750.00 ",2," $6,750.00 ", -   , -   , $-   ,0, $-   
00108900,ARKANSAS TECH UNIVERSITY,AR,728012222,PUBLIC, 55 , 55 ," $111,533.00 ",68," $114,811.00 ", 49 , 52 ," $141,942.00 ",80," $144,714.00 ", 3 , 3 ," $12,632.00 ",4," $12,632.00 ", -   , -   , $-   ,0, $-   
00109000,ARKANSAS STATE UNIVERSITY,AR,724010000,PUBLIC, 251 , 262 ," $622,972.00 ",407," $1,059,782.00 ", 267 , 276 ," $719,556.00 ",461," $1,300,291.00 ", 14 , 15 ," $45,689.00 ",15," $45,689.00 ", 12 , 13 ," $65,785.00 ",52," $499,300.00 "
00109100,ARKANSAS STATE UNIVERSITY - BEEBE,AR,720121000,PUBLIC, 78 , 80 ," $135,079.00 ",123," $136,839.00 ", 75 , 77 ," $155,306.00 ",131," $157,263.00 ", 1 , 1 ," $5,969.00 ",2," $5,969.00 ", -   , -   , $-   ,0, $-   
00109200,UNIVERSITY OF CENTRAL ARKANSAS,AR,720350001,PUBLIC, 54 , 58 ," $150,525.00 ",70," $149,040.00 ", 58 , 58 ," $159,327.00 ",76," $159,208.00 ", 9 , 9 ," $22,253.00 ",9," $22,253.00 ", -   , -   , $-   ,0, $-   
00109300,CENTRAL BAPTIST COLLEGE,AR,720346470,PRIVATE, 37 , 37 ," $92,350.00 ",137," $265,200.00 ", 29 , 30 ," $82,564.00 ",122," $293,929.00 ", 1 , 1 ," $2,000.00 ",1," $2,000.00 ", -   , -   , $-   ,0, $-   
00109400,UNIVERSITY OF THE OZARKS,AR,728302880,PRIVATE, 9 , 9 ," $26,250.00 ",9," $26,250.00 ", 14 , 14 ," $33,725.00 ",14," $33,725.00 ", 5 , 5 ," $21,020.00 ",5," $21,020.00 ", -   , -   , $-   ,0, $-   
00109500,CROWLEY'S RIDGE COLLEGE,AR,724509775,PRIVATE, 6 , 6 ," $17,049.00 ",7," $18,305.00 ", 7 , 7 ," $15,728.00 ",7," $15,728.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00109700,HARDING UNIVERSITY,AR,721490001,PRIVATE, 170 , 172 ," $594,949.00 ",172," $594,949.00 ", 193 , 201 ," $828,520.00 ",204," $828,520.00 ", 28 , 29 ," $147,076.00 ",41," $184,859.00 ", 19 , 20 ," $111,998.00 ",21," $111,998.00 "
00109800,HENDERSON STATE UNIVERSITY,AR,719990001,PUBLIC, 26 , 26 ," $60,231.00 ",27," $60,231.00 ", 56 , 57 ," $99,833.00 ",57," $99,669.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00109900,HENDRIX COLLEGE,AR,720323080,PRIVATE, -   , -   , $-   ,0, $-   , 6 , 6 ," $17,712.00 ",7," $17,712.00 ", 3 , 3 ," $10,856.00 ",3," $10,856.00 ", -   , -   , $-   ,0, $-   
00110000,JOHN BROWN UNIVERSITY,AR,727612747,PRIVATE, 31 , 31 ," $84,491.00 ",136," $366,830.00 ", 27 , 28 ," $81,936.00 ",129," $436,435.00 ", 6 , 6 ," $30,847.00 ",6," $30,847.00 ", -   , -   , $-   ,0, $-   
00110100,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,722041099,PUBLIC, 25 , 25 ," $82,257.00 ",25," $81,884.00 ", 40 , 42 ," $104,612.00 ",42," $101,746.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00110200,OUACHITA BAPTIST UNIVERSITY,AR,719980001,PRIVATE, 10 , 10 ," $30,000.00 ",11," $30,000.00 ", 14 , 18 ," $53,187.00 ",19," $53,187.00 ", 4 , 4 ," $20,825.00 ",4," $20,825.00 ", -   , -   , $-   ,0, $-   
00110300,PHILANDER SMITH COLLEGE,AR,722023718,PRIVATE, 6 , 6 ," $8,895.00 ",14," $29,395.00 ", 4 , 4 ," $15,137.00 ",13," $45,939.00 ", 1 , 1 , $900.00 ,1, $900.00 , -   , -   , $-   ,0, $-   
00110400,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,723420000,PUBLIC, 5 , 5 ," $15,500.00 ",31," $58,975.00 ", -   , -   , $-   ,1, $625.00 , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00110700,SOUTHERN ARKANSAS UNIVERSITY,AR,717535000,PUBLIC, 34 , 36 ," $95,118.00 ",42," $95,943.00 ", 42 , 43 ," $96,107.00 ",66," $95,566.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00110800,UNIVERSITY OF ARKANSAS,AR,727010000,PUBLIC, 139 , 140 ," $392,916.00 ",142," $381,196.00 ", 217 , 221 ," $787,602.00 ",227," $774,466.00 ", 43 , 44 ," $210,888.00 ",44," $210,888.00 ", 37 , 41 ," $223,954.00 ",43," $223,954.00 "
00110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,722057102,PUBLIC, 20 , 20 ," $87,071.00 ",167," $421,003.00 ", 32 , 35 ," $124,062.00 ",176," $577,039.00 ", -   , -   , $-   ,4," $9,331.00 ", 2 , 2 ," $7,913.00 ",35," $99,844.00 "
00524500,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON,AR,721109601,PUBLIC, 70 , 72 ," $119,014.00 ",131," $117,025.00 ", 78 , 83 ," $178,567.00 ",160," $180,534.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00570700,SOUTHEAST ARKANSAS COLLEGE,AR,716033900,PUBLIC, 68 , 68 ," $91,751.00 ",148," $111,156.00 ", 55 , 55 ," $64,606.00 ",118," $74,552.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00773800,SOUTHERN ARKANSAS UNIVERSITY TECH,AR,717011900,PUBLIC, 32 , 32 ," $30,028.00 ",49," $29,908.00 ", 33 , 33 ," $43,064.00 ",50," $43,064.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00997600,COLLEGE OF THE OUACHITAS,AR,721040816,PUBLIC, 11 , 11 ," $11,590.00 ",27," $21,590.00 ", 14 , 14 ," $20,920.00 ",27," $22,420.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01210500,NATIONAL PARK COMMUNITY COLLEGE,AR,719139174,PUBLIC, 140 , 143 ," $473,041.00 ",143," $472,580.00 ", 161 , 176 ," $549,144.00 ",179," $548,342.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01226100,NORTH ARKANSAS COLLEGE,AR,726015508,PUBLIC, 50 , 50 ," $116,293.00 ",67," $114,029.00 ", 44 , 45 ," $111,857.00 ",67," $109,108.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01286000,ARKANSAS NORTHEASTERN COLLEGE,AR,723161109,PUBLIC, 4 , 4 ," $7,538.00 ",5," $8,031.00 ", 5 , 5 ," $8,250.00 ",7," $9,256.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02052200,BLACK RIVER TECHNICAL COLLEGE,AR,724550468,PUBLIC, 180 , 182 ," $235,468.00 ",354," $233,592.00 ", 167 , 169 ," $261,770.00 ",330," $256,433.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02073500,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE,AR,725030000,PUBLIC, 20 , 20 ," $34,542.00 ",31," $34,542.00 ", 21 , 21 ," $46,050.00 ",35," $46,050.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02074600,SOUTH ARKANSAS COMMUNITY COLLEGE,AR,717317010,PUBLIC, 98 , 101 ," $154,459.00 ",184," $151,247.00 ", 145 , 149 ," $302,593.00 ",285," $301,415.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02075300,PULASKI TECHNICAL COLLEGE,AR,721183347,PUBLIC, 69 , 69 ," $216,727.00 ",79," $222,970.00 ", 43 , 43 ," $116,735.00 ",59," $128,291.00 ", 1 , 1 ," $3,000.00 ",1," $3,000.00 ", -   , -   , $-   ,0, $-   
02087000,OZARKA COLLEGE,AR,725560010,PUBLIC, 58 , 60 ," $104,900.00 ",111," $106,900.00 ", 81 , 83 ," $168,488.00 ",158," $168,988.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02272400,EASTERN COLLEGE OF HEALTH VOCATIONS,AR,722053535,PROPRIETARY, 99 , 99 ," $280,429.00 ",300," $488,555.00 ", 68 , 69 ," $116,965.00 ",172," $180,423.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02284200,NEW TYLER BARBER COLLEGE,AR,721144973,PROPRIETARY, 43 , 44 ," $139,296.00 ",66," $137,921.00 ", 38 , 39 ," $174,251.00 ",58," $172,423.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02330800,JRMC SCHOOL OF NURSING,AR,716036301,PRIVATE, -   , -   , $-   ,1, $875.00 , -   , -   , $-   ,1," $1,500.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02363500,ARTHUR'S BEAUTY COLLEGE,AR,729013342,PROPRIETARY, 7 , 7 ," $20,034.00 ",25," $37,450.00 ", 4 , 4 ," $20,526.00 ",9," $20,251.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02538500,ARTHUR'S BEAUTY COLLEGE,AR,720761819,PROPRIETARY, 41 , 41 ," $121,543.00 ",84," $141,346.00 ", 20 , 20 ," $71,213.00 ",43," $78,858.00 ", 1 , 1 ," $2,852.00 ",1," $2,852.00 ", -   , -   , $-   ,0, $-   
02569600,SEARCY BEAUTY COLLEGE,AR,721430000,PROPRIETARY, 11 , 11 ," $36,550.00 ",21," $37,400.00 ", 6 , 6 ," $14,250.00 ",13," $15,250.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
03023400,ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN,AR,721145615,PROPRIETARY, 40 , 42 ," $117,556.00 ",105," $157,064.00 ", 36 , 36 ," $109,553.00 ",87," $139,867.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
03063300,NORTHWEST ARKANSAS COMMUNITY COLLEGE,AR,727125190,PUBLIC, 19 , 19 ," $51,431.00 ",27," $58,714.00 ", 22 , 22 ," $62,946.00 ",31," $63,999.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
03105200,BAPTIST HEALTH SCHOOLS LITTLE ROCK,AR,722102820,PRIVATE, 3 , 3 ," $11,360.00 ",7," $14,610.00 ", 4 , 4 ," $16,640.00 ",14," $38,290.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
03127200,ASKINS VO TECH,AR,729088028,PROPRIETARY, 8 , 8 ," $16,735.00 ",26," $28,405.00 ", 8 , 8 ," $20,162.00 ",22," $27,293.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
03855300,ECCLESIA COLLEGE,AR,727628159,PRIVATE, 2 , 2 ," $5,500.00 ",2," $5,500.00 ", 1 , 1 ," $2,000.00 ",1," $2,000.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00107000,THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT,AZ,853066000,PRIVATE, 73 , 74 ," $488,742.00 ",78," $497,621.00 ", 84 , 84 ," $625,479.00 ",88," $609,345.00 ", -   , -   , $-   ,0, $-   , 106 , 115 ," $1,636,198.00 ",161," $1,866,018.00 "
00107100,ARIZONA WESTERN COLLEGE,AZ,853658847,PUBLIC, 50 , 50 ," $75,637.00 ",97," $75,262.00 ", 49 , 50 ," $111,847.00 ",98," $111,849.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00107200,COCHISE COLLEGE,AZ,856076190,PUBLIC, 66 , 68 ," $92,152.00 ",138," $104,314.00 ", 35 , 38 ," $59,090.00 ",73," $64,347.00 ", 1 , 1 ," $4,000.00 ",1," $4,000.00 ", -   , -   , $-   ,0, $-   
00107400,GRAND CANYON UNIVERSITY,AZ,850173030,PROPRIETARY, 197 , 199 ," $519,121.00 ",365," $818,662.00 ", 220 , 223 ," $710,783.00 ",419," $1,253,917.00 ", 2 , 2 ," $8,281.00 ",3," $4,716.00 ", 3 , 3 ," $14,770.00 ",5," $18,405.00 "
00107600,GLENDALE COMMUNITY COLLEGE,AZ,853023090,PUBLIC, 337 , 352 ," $928,532.00 ",433," $936,578.00 ", 212 , 235 ," $633,163.00 ",316," $640,952.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
